relay,mean,variance,standard deviation,mean absolute deviation,median absolute deviation
1E64DACE137A4A6223E7A4A73060A22ECA46D7B3,0.2728094220161438,0.0014004855097776592,0.029678097940413217,0.02111500263214106,0.01288545767664906
1E7416D0CF37A6661B0130F54C6EBEF071E36C4D,0.6208769798278808,0.00213050993010025,0.04417572535923745,0.03048459529876705,0.02492904528379435
1E74E1E087B4297C54C903F25DDBA4A8AFD5CEF1,0.607683394352595,0.0032234938496734002,0.05323589740134885,0.03770710031191502,0.03046130695939059
1E7BDE03151AAB779CB4AFEAEEA52536FFAA9400,1.2277976453304291,0.007410928448276575,0.0823773020689366,0.05220712224642429,0.021718141645193048
1E7FE364A814340CBD79AA2B3365E718D3B1A67C,0.3316079696019491,0.003660396199103908,0.04678949548285621,0.032925561666488606,0.029968247401714262
1E825573F8EFD5635E5C1E3B85CA647CFC84BA83,0.6448434889316559,0.004611006599183608,0.06579400888721747,0.05098897576332089,0.05204913253784174
1E8E4FF8358364884F86C990E86BD20FBF9C0513,0.8535883963108065,0.03556956593214807,0.1343807056911887,0.10246636589368181,0.05757810980081551
1E9279820111781944DAF18BF436F1120E3E89C8,0.3181140899658203,0.0011638231344194426,0.032252301882325314,0.02362030982971184,0.022908115267753548
1E9367DAD9DF1D3542D66B4AB32499D5B9B6691B,0.303086938460668,0.008760034327786369,0.06248670594805158,0.04989040017127986,0.055719191169738704
1E94E68778177D3B095CB64E86914F2FADE11D51,0.3479675968488058,0.0019151053603821417,0.04008697180321951,0.030360174576441423,0.022767563027143427
1E9659E114A9FA3B07543447325A2B33C2C02590,0.3273056983947754,0.0009621887209634583,0.0302230993293176,0.022198338508605902,0.016503304457664437
1E9B32A00C594B032597D8B6A1DF79B734531530,0.2744693577289581,0.011480410346091692,0.0716654872715325,0.0482135160764058,0.018651472324132883
1EBA56C764B1C56BE25B405C84C82C58F126B1B6,0.3558388948440552,0.0007742355775449001,0.026122786495898814,0.018263307015101076,0.011749787324666942
1EC884DC535E29D485684CD93D612F9F61C9EF71,0.35125966866811115,0.0017350098722207499,0.03908612752293294,0.0283096333344777,0.024117692267894692
1EDE36198865B97C22D94D94E4097C8BE963C33F,0.41238099932670597,0.004364980621502463,0.048837082263984616,0.035055151780446325,0.020825620925426443
1EDE608C5E190C8682A2F827664E758416104670,0.3607414960861206,0.026678479002493163,0.07545328671590987,0.05012734214464818,0.04363803164958948
1EE15139F389FDA24400239607CB4C0BE5DD8C76,1.7502355873584747,0.06294813215785416,0.2013310775099603,0.14486806511878964,0.14829781345725054
1EEA2511471808FD26322F64D6969ACB18936448,1.3784319400787353,0.0101345149240069,0.0970413879498912,0.0499622344970703,0.0090117801904678
1EF8DA0A6973A151A4420E8FA70538744C225856,0.322651731967926,0.0115377456112527,0.06817696125018194,0.055463942289352385,0.04934145835340018
1EFF2704D19BF45305BBCCA53E2B59A3D17A6EE3,0.8933574855327606,0.01533957561728055,0.11719961884758763,0.08695641279220578,0.0645509914398193
1F0CBF9F9DE1E372F969BA31D2D214F3CA5DDECD,0.2948007280176336,0.01810005481117551,0.09784025134191886,0.07600254492326211,0.03435943343639368
1F2077BF01CAF23F819D4892A89883196ABA842A,0.36478615999221803,0.003160651548466483,0.037688499242615414,0.02749904791514075,0.027263305318355496
1F386D45C8A3BB5D160AD30C9DD1794B35DC07C9,0.8633756975332895,0.005728366373668716,0.07265918554504687,0.05288114349047341,0.030093982964754042
